scenario,algorithm,battery_life_days,energy_per_op_mj,time_per_op_ms,memory_kb,operations_per_day,security_criticality
environmental_sensor,Kyber512,623049.8153203789,0.007423162460327149,0.14846324920654297,7.68,1440,Medium
environmental_sensor,Kyber768,1532763.590391909,0.003017425537109375,0.0603485107421875,2.56,1440,Medium
environmental_sensor,Dilithium2,621320.3224256659,0.007443825403849285,0.1488765080769857,8.533333333333333,1440,Medium
environmental_sensor,Dilithium3,460320.0949179355,0.010047356287638348,0.20094712575276694,0.0,1440,Medium
health_monitor,Kyber512,186914.94459611367,0.007423162460327149,0.14846324920654297,7.68,2880,High
health_monitor,Kyber768,459829.0771175727,0.003017425537109375,0.0603485107421875,2.56,2880,High
health_monitor,Dilithium2,186396.09672769977,0.007443825403849285,0.1488765080769857,8.533333333333333,2880,High
health_monitor,Dilithium3,138096.02847538065,0.010047356287638348,0.20094712575276694,0.0,2880,High
smart_lock,Kyber512,71775338.72490765,0.007423162460327149,0.14846324920654297,7.68,50,Very High
smart_lock,Kyber768,176574365.6131479,0.003017425537109375,0.0603485107421875,2.56,50,Very High
smart_lock,Dilithium2,71576101.14343672,0.007443825403849285,0.1488765080769857,8.533333333333333,50,Very High
smart_lock,Dilithium3,53028874.93454617,0.010047356287638348,0.20094712575276694,0.0,50,Very High
